
================================================================
VERIFICATION SUMMARY
================================================================
  CONFIRMED-NEW    19
  WORD-JUNK        1

CONFIRMED-NEW orbits: 19
    L     word        T    T*     lam stable        a         c
 0.85      b^5   5.3329 2.794    20.3  False   0.3136   -1.5239
 0.85     b^11   3.8599 2.311    14.8  False   0.1384   -2.2647
  0.9      b^6   5.7850  2.66    18.7  False   0.2862   -1.5905
  0.9     b^12   4.2494  2.27    13.6  False   0.1385   -2.2636
  0.9     b^13   4.1666 2.236    16.7  False   0.1290   -2.3454
  0.9     b^15   4.0223 2.178    15.7  False   0.1137   -2.4965
  0.9     b^16   3.9594 2.153    12.4  False   0.1075   -2.5665
  0.9     b^23   8.6031  2.29    61.3  False   0.1440   -2.2204
0.935      b^8   5.5679 2.477    16.1  False   0.2235   -1.7898
0.935     b^10   4.7970 2.343    40.0  False   0.1802   -1.9354
0.935     b^16   4.3093 2.153    15.0  False   0.1138   -2.4960
  1.0      b^8   7.8392 2.478    18.8  False   0.2807   -1.6049
  1.0     b^17   5.0890 2.131    14.9  False   0.1218   -2.4125
 1.03     b^10   7.6566 2.357    16.7  False   0.2341   -1.7501
 1.03     b^12   4.8086 2.261     9.2  False   0.2428   -1.0732
 1.03     b^25   9.6271 2.244    32.5  False   0.2341   -1.1086
 1.07     b^13   7.8786 2.236    15.2  False   0.1972   -1.9022
 1.07     b^16   6.8561 2.153    18.0  False   0.1552   -2.1385
 1.07     b^35  13.0818 2.121    72.7  False   0.1411   -2.2417
